2010-11-03T09:19:39-0600	PUMP1	ON	0.00	114858095585703917997217033620789112887627399685822295353518114858095585703917997217033620789112887627399685822295353518752739447870678047886122597262632283124858642420069711145243192218054694189819201957452300002688296559783383687348020904086908993328116810159522824390244826282887199076740279317337821151232.000
2010-11-03T09:19:39-0600	PUMP2	ON	0.00	114858122370756176740622116072548579857094725640172202968945114858122370639849665002208553455737121983207248711915013454975749765716630394975714044285022580756640955015392639306422512599731983960192961092761519773930822705305414958269515761573002994190161268068452128894146614614673259984684961851619833544704.000
2010-11-03T09:27:03-0600	PUMP1	ON	0.00	114858095585703917997217033620789112887627399685822295353518114858095585703917997217033620789112887627399685822295353518752739447870678047886122597262632283124858642420069711145243192218054694189819201957452300002688296559783383687348020904086908993328116810159522824390244826282887199076740279317337821151232.000
2010-11-03T09:33:15-0600	PUMP1	ON	0.00	114858095585703917997217033620789112887627399685822295353518114858095585703917997217033620789112887627399685822295353518752739447870678047886122597262632283124858642420069711145243192218054694189819201957452300002688296559783383687348020904086908993328116810159522824390244826282887199076740279317337821151232.000
2010-11-03T09:34:29-0600	PUMP1	ON	0.00	114858095585703917997217033620789112887627399685822295353518114858095585703917997217033620789112887627399685822295353518752739447870678047886122597262632283124858642420069711145243192218054694189819201957452300002688296559783383687348020904086908993328116810159522824390244826282887199076740279317337821151232.000
2010-11-03T10:19:53-0600	PUMP1	ON	0.00	114858095585703917997217033620789112887627399685822295353518114858122132449667310937610418458629879807294216498789597139886947047857100688270619147400188226542342191828035956049881534267759518417026885716766325911119597301219264914650897486902129646277551542672905898566326396117599195502477811181002019569664.000
2010-11-03T10:28:07-0600	PUMP1	ON	0.00	114858122355650995432088952907866768095524483978871877658217114858122353977331248009835053090243439618275424223186311412728501773394064325493884465340925391242971442496090903372615738107506837160041097547163337704367877492925708679876947039623807083146163065230141559952287780113949939402138246909888873627648.000
2010-11-03T10:28:10-0600	PUMP2	ON	0.00	114858122355599874116345675164050182498928390694732378915445114858122355641854205561486333656610904296416763826525113348292073226461872582896257082323785809576272197676440359120333278652404188717663612364596898605011813704677819991098122850521908219429787463434624588689060787661899611859398644147652407590912.000
2010-11-03T10:28:13-0600	PUMP3	ON	0.00	114858122354489711899048022624375331438154532067539726917413114858122354405155553668956812931377419294910328370215877377542353511760356340256693395220431203670472806588543539232618710854522418438331067143794509925887233301473912848170195871737373855821667296158461803560361941928009800148178268722272304889856.000
2010-11-03T10:28:31-0600	PUMP1	OFF	0.00	11485812221349252762553479507978421504684340540323863397067114858122174156066217293272648127491951771285660183861577789895100063343003233151909439855186075996623982844369432302538515556136379926975775764435071125716999272297528335038490277919987575805708347671627332321860992349025376487658552201681238491136.000
2010-11-03T10:28:34-0600	PUMP2	OFF	0.00	11485812212334624770405474307229018660024311803337186041664114858122204620222071944180468537789449849711200497465870236836549624055939028142540248259982445206407436618276711600193150632061357879486778683674822832362733636770973158763083029061507843820053369719056646679740579118161257507470942071555968991232.000
2010-11-03T10:28:37-0600	PUMP3	OFF	0.00	11485812220962862059741679068198543489595792904371529605127114858122213879837419057237539253701257789122840703679839141197012789813891137245091113699445005465942563326004706664343887380247514227570086275721245890301779524785829745768900491271682121423084789693870786423535098236772303832638147025101932986368.000
2010-11-03T10:41:42-0600	PUMP1	ON	338.17	28.131	27.103
2010-11-03T10:41:45-0600	PUMP2	ON	328.11	28.100	28.125
2010-11-03T10:41:48-0600	PUMP3	ON	309.00	27.418	27.366
2010-11-03T10:42:06-0600	PUMP1	OFF	47.99	0.650	0.224
2010-11-03T10:42:09-0600	PUMP2	OFF	37.74	0.057	0.490
2010-11-03T10:42:12-0600	PUMP3	OFF	47.32	0.576	0.658
2010-11-03T10:42:53-0600	PUMP1	ON	327.75	27.526	28.082
2010-11-03T10:42:56-0600	PUMP2	ON	316.10	26.990	27.828
2010-11-03T10:42:59-0600	PUMP3	ON	277.29	27.020	27.381
2010-11-03T10:43:15-0600	PUMP1	OFF	48.47	-0.287	0.184
2010-11-03T10:43:18-0600	PUMP2	OFF	30.73	0.742	-0.018
2010-11-03T10:43:21-0600	PUMP3	OFF	37.42	-0.114	-0.643
2010-11-03T10:43:56-0600	PUMP1	ON	326.41	27.725	26.854
2010-11-03T10:43:59-0600	PUMP2	ON	318.19	27.613	27.447
2010-11-03T10:44:02-0600	PUMP3	ON	296.22	27.425	28.098
2010-11-03T10:44:20-0600	PUMP1	OFF	46.07	0.241	0.062
2010-11-03T10:44:23-0600	PUMP2	OFF	27.83	-0.229	0.323
2010-11-03T10:44:26-0600	PUMP3	OFF	32.99	0.144	0.386
2010-11-03T10:45:10-0600	PUMP1	ON	324.51	27.060	28.047
2010-11-03T10:45:13-0600	PUMP2	ON	328.67	27.132	26.903
2010-11-03T10:45:16-0600	PUMP3	ON	299.36	28.000	27.891
2010-11-03T10:45:50-0600	PUMP1	ON	338.17	28.131	27.103
2010-11-03T10:45:53-0600	PUMP2	ON	328.11	28.100	28.125
2010-11-03T10:45:56-0600	PUMP3	ON	309.00	27.418	27.366
2010-11-03T10:46:14-0600	PUMP1	OFF	47.99	0.650	0.224
2010-11-03T10:46:17-0600	PUMP2	OFF	37.74	0.057	0.490
2010-11-03T10:46:20-0600	PUMP3	OFF	47.32	0.576	0.658
2010-11-03T10:47:01-0600	PUMP1	ON	327.75	27.526	28.082
2010-11-03T10:47:04-0600	PUMP2	ON	316.10	26.990	27.828
2010-11-03T10:47:07-0600	PUMP3	ON	277.29	27.020	27.381
2010-11-03T10:47:23-0600	PUMP1	OFF	48.47	-0.287	0.184
2010-11-03T10:47:26-0600	PUMP2	OFF	30.73	0.742	-0.018
2010-11-03T10:47:29-0600	PUMP3	OFF	37.42	-0.114	-0.643
2010-11-03T10:48:00-0600	PUMP1	ON	277.35	27.546	27.412
2010-11-03T10:48:03-0600	PUMP2	ON	276.05	28.080	28.144
2010-11-03T10:48:06-0600	PUMP3	ON	260.18	27.295	27.619
2010-11-03T10:48:25-0600	PUMP1	OFF	67.63	0.650	0.224
2010-11-03T10:48:28-0600	PUMP2	OFF	61.67	0.057	0.490
2010-11-03T10:48:31-0600	PUMP3	OFF	69.10	0.576	0.658
2010-11-03T10:49:15-0600	PUMP1	ON	274.32	28.082	28.213
2010-11-03T10:49:18-0600	PUMP2	ON	259.08	27.828	26.869
2010-11-03T10:49:21-0600	PUMP3	ON	233.45	27.381	27.409
2010-11-03T10:49:36-0600	PUMP1	OFF	81.59	-0.178	0.156
